Id,Service,Countries,URL,Category,Focus keywords / tags,Genre,Available in countries,Language(s),Supported devices,Business model,Price_Month,Current owner,Nr of subscibers,Head- quarters,Logos
,Kanopy,-,https://www.kanopy.com/,Educational,"films and documentaries, children's programming, critically-acclaimed movies, inspiring documentaries, award-winning foreign films ","Classic, Indie, Documentary",United States and Australia,English,"Appstore, Playstore, Roku, Amazon, Chromecast, Samsung TV, Apple TV, Android TV, Fire TV, Android or Apple devices, tablets, laptops, PC",free fith library card,"$150 for a 1-year license, $350 for a 3-year license","Olivia Humphrey",-,"San Francisco, California, United States",-
,IMDb TV,-,https://www.imdb.com/tv/,Movies & TV Shows,"online database of information related to films, television programs, home videos, video games, and streaming content online – including cast, production crew and personal biographies, plot summaries, trivia, fan and critical reviews, and ratings","movies info and trailers, tv shows info, awards and events, celebs, videos, community",Worldwide,English,"IMDb app, the IMDb website via laptop or personal computer, the Amazon Prime Video app and Amazon Fire TV devices.",aVOD,IMDbPro $19.99 per month,Amazon,"83 million","Seattle, Washington, United States",-
,Crackle,-,https://www.crackle.com/out-of-region.html,Movies & TV Shows,"tv shows, blockbusters, ","action, comedy, crime, drama, horror, and sci-fi.","U.S., Canada, Australia and Latin America",English,"Bravia TVs, PS3, Roku boxes, and Sony Blu-ray players, Xbox, Vevo, Apple TV, mobile devices, smart TVs, laptops, PC",aVOD,-,Chicken for the Soul Entertainment,"26 million","Culver City, California, United States",-
,Crunchyroll,-,https://www.crunchyroll.com/,Niche content,"studio ghubli, naruto, subbed anime, dubbed anime, anime","Naruto, One Piece, Fairy Tail, and Monster Musume","Europe, USA","English, Spanish, Portuguese, Arabic, Italian, Russian","Bravia TVs, PS3, Roku boxes, and Sony Blu-ray players, Xbox, Vevo, Apple TV, mobile devices, smart TVs, laptops, PC",aVOD,-,"Otter Media",2 million subscribers,"San Francisco, California, United States",-
,Film Rise,-,https://filmrise.com/,Movies & TV Shows,"Various movies, TV series, iconic movies","Reality, Classic, Documentary",Worldwide,English,"Amazon Fire TV, Xbox, Apple TV, and smart TVs such as Vizio",aVOD,-,Danny Fisher,"48,000 subscribers ","New York City, New York, United States",-
,Comet TV,-,https://www.comettv.com/,Niche content,Science Fiction movies,"Adventure, Horror, Sci-Fi, Drama, Thriller, Fantasy, Mystery","USA, Europe, Latin America",English,"Apple TV, FuboTV, YouTubeTV, Roku, Sling TV Satellite Company Dish Network channel 289 and Sinclair's Stirr, Roku",Broacast TV channel,-,Sinclair Television Group,-,"Los Angeles, California",-
,Charge,-,https://watchcharge.com/,Movies & TV Shows,"Action movies, Western movies, Crime","Western, Crime drama, War, Action, Thriller, Biography, Drama, Comedy, Adventure",USA,English,"streaming services, Stirr, mobile devices",sVOD,?,"Sinclair Television Group, Inc.",-,United States,-
,byNWR,-,https://www.bynwr.com/,Niche content,"3 cultural movies a month, black and white movies","Crime, Western","Europe, USA","English, French","mobile devices, laptop, PC, smart TVs",aVOD,-,Nicolas Winding Refn,-,-,-
,MUBI,-,https://mubi.com/,Movies & TV Shows,"Hand picked best films
","Classic, Cult, Documentary, Crime, Drama, Comedy, Romance","USA, Malaysia, India","Bengali, Brazilian, Portuguese, Danish, Dutch, English, French, German, Hindi, Italian, Indonesian, Malay, Norwegian, Polish, Romanian, Spanish, Swedish, Turkish","PC, Mac, iPhone, iPad, Apple TV, Android, Playstation, Roku, and Samsung Smart TV",sVOD,$10.99 per month,Efe Çakarel (founder and CEO),9 million subscribers,"offices in London, New York, Kuala Lumpur and Mumbai",-
,Shout! Facttory,-,https://www.shoutfactory.com/,Movies & TV Shows,"Weird movies, underground, cult, previously released feature films, classic and contemporary television series, animation, live music, and comedy specials","Action, Adventure,Animation, Comedy, Crime, Documentary, Drama, Family, Fantasy, Film Noir, History, Horror, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western","USA, Canada",English,"Desktop and mobile/tablet web browser, Android, Amazon Fire TV, Apple TV, Roku, Tubi, Pluto TV, STIRR, Samsung TV Plus, Amazon Channels, Twitch, XUMO / LG Channel Plus, Vewd, Comcast Xfinity, Popcornflix, VRV",aVOD/sVOD, $2.99/month,"Richard Foos",-,"Los Angeles, California, U.S.",-
,indieflix,-,https://www.indieflix.com/,Movies & TV Shows,"access shorts, features, documentaries, and series","Independent , Documentary, Romance, Series, Short Films, Drama, Comedy, Horror, Foreign, Thriller, LGBTQ, Action and Adventure, Sci-Fi and Fantasy, Animation, Classic","USA, UK, Europe",English,"Fire TV, Roku, Xbox, and internet connected devices including smart phones, smart TVs, and tablets",sVOD,"Unlimited, ad-free and only $4.99/month","Scilla Andreen",-,"Seattle, United States",-
,iTunes,-,https://www.apple.com/itunes/,Niche content,"media player, media library, Internet radio broadcaster, mobile device management utility, the client app for iTunes Store","Music library, VIdeo, Podcasts, Books, Apps, iTunes Store, Internet radio and music streaming, iPhone activation, Ping, ",Worldwide,English,macOS Mojave and earlier Windows 7 and later,sVOD,"Most services will let users have a free trial instead of individually buying songs, which can cost an average of $1.29 on iTunes, and then start to pay around $10 per month for a variety of songs without ad interruptions",Apple,around 50 million,"1 Apple Park Way Cupertino, California, United States",-
,Noggin,-,https://www.noggin.com/,Children,2+ year old Children  ,"Cartoons, Games, eBooks","USA, UK",English,"available on App Store, Google Play, Amazon Prime, Roku",aVOD/sVOD,"free trial, $5.99 per month",Viacom,"2.5 million subscribers",United States,-
,get TV,-,https://www.get.tv/schedule,Movies & TV Shows,"series, movies, quizzez and games","Action, Adventure, Christmas, Crime, Classic, Drama, Romance, Comedy, Variety, War",Nationwide,English,"AirTV Player, Roku, Android TV, Amazon Fire TV, iOS and Android devices (AirTV use only)",sVOD,-,Sony Pictures Television Networks,-,"Culver City, California",-
,GinxTV,-,https://www.ginx.tv/en,eSports,"News & Events, Videos, TV Schedule, How to watch, News & Events, Games, Genres, Presenters","Action-Adventure, Auto Battler, Battle Royale, Card Game, Fighting games","Austria, Bangladesh, Belgium, Luxembourg, Bosna and Herzegovina, Brunei, Cambodia, Canada, Croatia, Cyprus, Czech Republic, Finland, France, Germany, Greece, Iceland, Indonesia, International, Israel, Italy, Kingdom of Saudi Arabia, Macedonia, Malawi, Malaysia, Maldives, Malta, Mexico, Montenegro, Myanmar, Netherlands, Norway, Pakistan, Philippines, Poland, Portugal, Serbia, Singapore, Slovakia, Slovenia, South Africa, Sri Lanka, Sweden, Tanzania, Thailand, Turkey, Uganda, United Kingdom, United Arab Emirates, USA, Vietnam, Zambia",English,"smart TVs, Roku, AT&T NOW, fuboTV, Hulu	Philo, Sling TV, YouTube",sVOD,"free trial, $4.99 per month ","Michiel Bakker","100 million","London, United Kingdom",https://i.imgur.com/gLqcvHm.png
,ALT Balaji,-,https://www.altbalaji.com/,Movies & TV Shows,"Hindi TV shows, Hindi movies","Romance, Drama. Action, Thriller, Period drama, Horror, Erotic, Mystery, Adventure",India,"English, Hindi","mobile and Tablet Devices (Apple phone, Apple iPad, Android phone, Android tablet), Web browser (Desktop Browser), Android TV, and Windows (Windows PC, Windows Mobile, Windows tablet)",sVOD,3-month subscription for 100 rupees and a 12-month plan for 300 rupees,Balaji Telefilms Limited,"27 million","Mumbai, India",-
,HITS TV,-,https://hitstv.com/,Movies & TV Shows,hit series,"Romance, Drama, Mystery, Adventure, Thriller, Family, Crime, Detective, Thriller","Singapore, Malaysia, Thailand, Indonesia, Philippines, Hong Kong, Vietnam, Maldives, Myanmar, Laos, Macau, Taiwan, Brunei, Cambodia",English,smart TVs,sVOD,-,Rewind Networks,10 Million,"Centennial, Colorado",-
,Sony LIV,India,https://www.sonyliv.com/,Movies & TV Shows,"popular shows, live shows, web series, popular movies, live channels","Drama, Action, Comedy, Romance, Comedy, Romance, Horror, Marathi movies, Tamil movies, Telugu movies, Short films","USA, Kuwait, Saudi Arabia, Oman, Bahrain, UAE",English,"Sony Bravia Smart TVs & Sony Xperia Smartphones,Android Version 2.2 and above iPad, iPhone, iPod Touch, Windows Phone KaiOS: Available in JioPhone",sVOD,Rs. 99 per month,"Sony Pictures Networks India Pvt. Ltd.",4.6 millions,"Mumbai, India",-
,Hoichoi,-,https://www.hoichoi.tv/,Niche content,"bengali movies, bengali short films, bengali shows, live tv","Action, Adventure, Comedy, Classic, Detective, Drama, Romance, Short film","India, South East Asia","English, Bengali","Android, iOS, Apple TV, Amazon Fire TV and recently for Android TV and Roku ",sVOD,$8.99 a month,SVF Entertainment Pvt Ltd,"800,000","Kolkata, West Bengal, India",-
,Funimation,-,https://www.funimation.com/,Niche content,"Anime, motion pictures, Japanese/Asian cinema",Anime,USA,English and Japanese,"Smart TV devices, Amazon Fire TV, AndroidTV, Apple TV, Chromecast, LG Smart TV, Roku, Samsung.",sVOD,$5.99 a month,Aniplex ,"300,000","Flower Mound, Texas, United States",-
,Disney Now,-,https://disneynow.com/,Children,"series, games, cartoons, chilldren channels","Short, Cartoons",USA,English,"Android, iOS, Apple TV, and Roku. Web, Android TV, and Amazon Fire TV",sVOD,$7 per month ,"The Walt Disney Company",26.5 million paying subscribers,United States,-
,Dailymotion,-,https://www.dailymotion.com/,Movies & TV Shows,"Featured, News, Sports, Entertainment, Music","News, Sport, Music",Worldwide,English,"Windows 10, Windows Phone, iOS and Android mobile operating systems, and most recently the PlayStation 4 and Xbox One gaming consoles",aVOD,/,"Vivendi","300 million","Paris, 140 boulevard Malesherbes, 17th arrondissement, France",-
,Vevo,-,https://hq.vevo.com/,Niche content,"Online music, Music library, Music videos","Music library, VIdeo, Podcasts,  Internet radio and music streaming","Australia, Brazil, Canada, France, Germany, India, Ireland, IranItaly, Mexico, Netherlands, Greece, New Zealand, Philippines, Poland, South Korea, Spain, Thailand, United Kingdom, United States, Vietnam",English,"Android, iOS, Windows Phone, Windows 8, Fire OS, Google TV, Apple TV, Boxee, Roku, Xbox 360, PlayStation 3, and PlayStation 4.",aVOD,free / premium 20$ per year,"Universal Music Group, Sony Music, Abu Dhabi Media, Alphabet Inc.",33.6 million subscribers,"New York, New York, United States",-
,Viki,-,https://www.viki.com,Niche content,Asian TV shows and movies,"Korean, Chinese, and Taiwanese dramas, movies",USA,English,"Android TV, Apple TV, Chromecast, Fire TV, Android mobile devices and Apple devices",aVOD,-,Rakuten,"40 million fans","Palo Alto, California, United States",https://i.imgur.com/tluRO2I.png
,Horse & Country,-,https://horseandcountry.tv/en-us/,Niche content,Horeses and Country,Sport,"UK, Republic of Ireland, The Netherlands, Sweden and Australia",English,"Apple TV, Android TV, Roku, Fire TV and Amazon Prime Video",aVOD,-,"H&C TV Ltd.",-,"United Kingdom",-
,Plex TV,-,https://www.plex.tv/,Movies & TV Shows,"Movies, Television, TV Shows, Seasons, Episodes, Music, Artists, Albums and Tracks.","Animation, Documentaries, Music Concerts, Action, Crime, Family, Drama, Adventure, War, Drama, Romance, Thriller, Horror, History",Worldwide in 200 countries,English,"Amazon Fire TV, Android TV, Apple TV, Chromecast, iOS, smart TVs and Blu-ray devices, webOS, Opera TV, PlayStation 3, PlayStation 4, Roku, Sonos, TiVO, Windows Phone, Xbox 360, and Xbox One.",sVOD,$4.99 per month,"CBS Entertainment Group (50%; ViacomCBS), Warner Bros. (50%; WarnerMedia)",-,"Burbank, California, U.S.",-
,The CW Network,-,https://www.cwtv.com/,Movies & TV Shows,,"Drama, Comedy, Reality, Daytime, Children","United States, Canada, Several areas of Northern Mexico (FTA only)",English,mobile app for iOS and Android devices ,sVOD,$49.99 a mont,"CBS Entertainment Group (50%; ViacomCBS), Warner Bros. (50%; WarnerMedia)",-,"Burbank, California, U.S.",-
,Turkcell,Turkey,https://www.turkcell.com.tr/,Niche content,"mobile and fixed telecomunication, internet, television",,I have the location info,Turkish,"smartphones, tablet, PC, laptop, TVs",sVOD,40TL,"Telia Company (51%), Altimo (13.2%), Çukurova Holding (0.05%)",70 million,"Istanbul, Turkey",-
,Vodafone TV,Turkey,https://www.vodafone.co.nz/tv/vodafone-tv/,Movies & TV Shows,"mobile and fixed telecomunication, internet, television",,I have the location info,"English, Spanish ","Vodafone TV has three television decoders according to the type of quality or the type of connection, these are: 4K , fiber and ADSL,Smart TV : Samsung in models after 2017, Google Chromecast , Phones and tablets Android : software version 6.0 (Marshmallow) and later, Apple devices ( iPhone , iPad and iPod touch ): iOS version 9 and later.",sVOD,$140 a month (add $20 to get an extra box) and comes with a “basic” Sky subscription – this includes Sky's Starter and Entertainment packages,Vodafone Spain,3.919 million,"Avenida de América, 115, 28042 Madrid Spain",-
https://escharts.com/platforms,,-,,eSports,,,,,,,,,,,-
https://archive.org/,,-,,,,,,,,,,,,,-
